company,articles_total
facebook,1989
youtube,1883
netflix,1828
google,1589
instagram,1558
apple,1474
microsoft,1346
amazon,1239
tesla,1029
spotify,916
disney,884
nike,450
loreal,412
starbucks,394
linkedin,373
volkswagen,357
toyota,349
mercedes,326
americanexpress,304
cocacola,298
intel,267
ibm,257
samsung,230
prada,204
gucci,189
ford,182
for,182
oracle,175
nissan,169
salesforce,154
airbnb,153
nintendo,150
bmw,147
hyundai,134
kia,133
sap,133
lego,132
nestle,129
paypal,122
porsche,119
honda,118
kellogs,116
ebay,115
burberry,114
adidas,113
dior,110
ferrari,107
ups,101
cisco,101
huawei,97
pepsi,86
mastercard,79
chanel,72
budweiser,71
cartier,67
kfc,63
sony,62
audi,54
zara,49
henessy,46
colgate,35
hp,22
xiaomi,21
panasonic,19
corona,15
luisvuttion,14
nespresso,13
jackdaniels,13
heineken,12
dhl,10
pampers,7
danone,6
canon,3
nescafe,2
redbull,1
fedex,0
mercedesbenz,0
ikea,0
mcdonalds,0
sephora,0
hennessy,0
lorealparis,0
gillette,0
kelloggs,0
