outcome,predictor,lag,coef,se,pval
log1p_meme_engagement,NYT_mention,0,-0.0042125179617734055,0.0019052527556355323,0.027035687347289967
log1p_meme_engagement,NYT_mention,1,2.800707353945971e-05,0.0014315395805638705,0.9843909407770939
log1p_meme_engagement,NYT_mention,2,-0.0007460131364887333,0.001791300278388472,0.6770700731679534
log1p_meme_engagement,NYT_mention,3,-0.0058690700092235565,0.0009129573335064155,1.2875437296249044e-10
log1p_meme_volume,NYT_mention,0,-0.0067894394641087995,0.0019574377141004257,0.0005233061055156427
log1p_meme_volume,NYT_mention,1,-0.0008887474127372776,0.0012703023351519737,0.48415555505919416
log1p_meme_volume,NYT_mention,2,-0.002635844441423018,0.0013073954502531425,0.043789162282883334
log1p_meme_volume,NYT_mention,3,-0.006480978046164216,0.0017963465058060415,0.00030872548443032244
mean_meme_sentiment,NYT_mention,0,0.002681204205585184,0.0017870210749673875,0.13351693523976146
mean_meme_sentiment,NYT_mention,1,-0.0018151147260290566,0.0010933003519711347,0.09687100905722913
mean_meme_sentiment,NYT_mention,2,-0.0001666765559161054,0.0013527240093984766,0.9019364572943278
mean_meme_sentiment,NYT_mention,3,-0.0002537461125005372,0.0014044776313102828,0.8566270890654419
